id,type,text1,text2,text3,notes
#SHIPS,,,,,
diableavionics_mistral_nightingale,SHIP,"Developed under the mysterious ""Project Mistral"", the Nachtreiher appears to be a prototype self-sufficient wanzer design. The cutting-edge reactor design is powered by an experimental ""Sakuradite Core Luminous"" installed into a heavily modified 9th-gen frame. Increased power output has allowed for the installation of a shield generator alongside a Phase Grazer core for unparalleled mobility, without sacrificing the powerful chest-mounted missile systems signature to the Raven.

Numerous subsystems evoke the design language of Arma Armature's Cataphract designs, but it is unclear if this is due to collaboration between the two corporations, or a blatant theft of proprietary technology. Regardless, this merging of design philosophies gives the Nachtreiher unique capabilities within Diable's fleet; that is, if any specimens entered into military circulation.",,,
diableavionics_mistral_mistral_carrier,SHIP,"Project M.I.S./T.R.A.L.'s namesake vessel, made up of the ""Mobile Intercept Strikercraft"", the Nachtreiher, and the ""Tactical Ranged Assault Lancer"", the Vogelheim. The combined ""Mistral"" unit was an attempt at replicating the Virtuous project by rival factions within Diable corp. It's control interface, a forced co-dependance between a cyber-augmented human and an AI core, ultimately resulted in the loss of the unit. According to logs from the vessel's black box, the test ""pilot"" and the AI core had orchestrated an escape during routine maintinence, where the AI core had mysteriously remained powered during checks on the loyalty-assurance devices.",,,
diableavionics_mistral_pandemonium_AC,SHIP,"A novel redesign of what was previously seen as a novelty of the Diable Avionics fleet, the Discordant was developed as a close-support variant of the Pandemonium-class. Working from an antiquated ""FF-based"" design, the vast hanger bays and manufactorums were repurposed to house an extensive missile autoforge, extending down the spine of the ship.",,,
diableavionics_mistral_sunshower_DA,SHIP,"The Diable Corporation's acquisition of a rare Arsenal Droneship hull from the Traverser Design Bureau has been a continued source of political tension between the two organizations. According to Diable's public records, the ship was salvaged from an illegal incursion into Diable space, stripped, and scuttled. Rumors of a ship matching the Sunshower's silhouette began circulating circa c+204 under the command of a notable fleet of Diable's comissioned mercenaries. The ship appears to have been radically reconstructed for crewed operations, with launch bays refitted to field Diable's signature Wanzer mechs.",,,
diableavionics_mistral_raven_kai,SHIP,"A favorite among Angelos pilots - the few 9th-generation Raven LPCs the Contingent managed to ""aquire"" from Diable Avionics have been modified from their standard configuration, featuring overclocked weapons and advanced reactor systems, allowing for the installation of a shield emitter alongside the flicker core displacement system. As these ""modifications"" are technically hacks done on the LPC level, they have only been integrated into the largest hulls of the Angelos fleet, and are not viable for mass deployment.",,,
diableavionics_mistral_raindrop,SHIP,"An ancient pre-collapse design, the ""Raindrop""-class frigate was originally designed by Diable Avionics as a competitor to the wolf. Unfortunately, manufacturing fees regarding production rights dropped it out of favor with the sector at large. When dozens of mothballed hulls were discovered in the spacedocks above Iskandar, the Angelos Contingent rechristened it the ""Ame"" in the language of Kara's native Luddic population, and pressed it into service as a fast scout and escort vessel for their merchant fleets.",,,
diableavionics_mistral_typhoon,SHIP,"Repurposing the internal hanger and cargo spaces of the Rime-class hull, the Typhoon was designed to be a close-support carrier to repair strikecraft under fire. The ship was refit with more advanced fire-control systems in a larger bridge complex, and pushed into service as a mainline cruiser of the Angelos Contingent fleet.",,,
diableavionics_mistral_stormsurge,SHIP,"The Stormsurge began as an experimental craft, attempting to fit the complex mechanics of the Phaze Grazer Core onto a Gust hull. After much trial and error, a nanoforge-stable design was released; although it required reallocating internal wanzer microforges and launch bays to do so. The prow hull hardening and stabalization fins gave this design the nickname ""mini-mael"", after it's much larger cousin.",,,
diableavionics_mistral_tailwind,SHIP,"A further refinement of a Diable Avionics reverse-engineering of the infamous Gulf-class cruiser. The Tailwind is not able to match the raw firepower of the Gulf, but makes up for it with it's streamlined production process, and it's strikecraft-support technologies provided by Arma Armatura.",,,
diableavionics_mistral_sunrain,SHIP,"The Sunrain is a result of extensive technological cooperation between the Angelos Contingent and the Traverser Design Bureau. In exchange for access to several of Diable Avionics' proprietary designs seized by Angelos, the TDB contributed several capital-sized droneship hulls to the Contingent's military. The automated systems served to offset Angelos' lack of manpower, and the former ""Sunshower"" hulls were re-armored and refitted for heavier deployments of Wanzer squadrons.",,,
diableavionics_mistral_sparrow,SHIP,"The Sparrow is a carrier-independant refit of an existing 8th-generation wanzer chassis. Equipped with modular weapon systems and a downsized drone defense system from the Calm, the Sparrow is durable enough to act as a fire-support escort vessel and compliment to it's carrier-bound cousins.",,,
diableavionics_mistral_hummingbird,SHIP,"Initially part of the proposed 10th-generation wanzer line, the Hummingbird was never approved for mass production. It's miniaturization of the Virtuous's Phase Grazer Siphon was too complex to be incorporated into existing Diable Avionics carrier-bound microforges.",,,
,,,,,
,,,,,
#FACTIONS,,,,,
angelos,FACTION,"Closer to a band of rebel pilots than a formal polity, the Angelos Contingent boldly announced themselves to the sector through a series of ""terrorist"" acts against the Diable Avionics Corportation's claims in the former ESO 75 star system. Despite their age, the Contingent found themselves easy allies born from the many enemies of Diable Corp. Connections with the Luddic Church (as well as generous technological collaboration agreements) have gotten the group's ""rebellion"" in the good graces of political, industrial, and civilian spheres alike.

The stated goal of this rebellion? Complete freedom for their countrymen, and the destruction or reformation of the Diable Avionics military industrial complex. Most established polities of the sector have not formally acknowledged the independance of the Angelos Contingent, but shipments, trade, and advanced weapons find their way to Angelos docks all the same. While It has not yet publically escalated into open conflict, this proxy war has the potential of igniting cycles-old tensions, and giving opportunistic actors an opening to benefit from the conflict.",,,
,,,,,
,,,,,
#WEAPONS,,,,,
mistral_infernal_star,WEAPON,Experimental,Assault,,
diableavionics_esp_kestrel,WEAPON,Experimental,Fire Support,,
mistral_foura,WEAPON,Experimental,Assault,,
mistral_nightingaleHead,WEAPON,"Design improvements have allowed for the installation of a full-sized Burchel Beam Repeater. Due to it's close proximity to the ship's reactor, the weapon can be used with no impact to the strikecraft's flux grid.",Point Defense,,
,,,,,
,,,,,
#systems,,,,,
mistral_overload,SHIP_SYSTEM,"Reactor protocols from the 9th gen ""Nightingale"" have been integrated into a much larger frame, although the signiture ""chirping"" remains.",Offensive,"Boosts ballistic weapon rate of fire, energy weapon damage, and mobility by 50% for a short duration.",
mistral_overload_small,SHIP_SYSTEM,"Reactor protocols from the 9th gen ""Nightingale"" have been carried over into the Nachtreiher, along with it's signiture ""chirping"" calling card.",Offensive,"Boosts ballistic weapon rate of fire, energy weapon damage, and mobility by 50% for a short duration.",
